IntegralRankCurrencyName_1300001|元宝榜
IntegralRankCurrencyName_1300010|仙玉榜
FlowerBtnNameList_1_0|花魁榜
FlowerBtnNameList_1_1|送花
FlowerBtnNameList_1_2|花魁奖励
FlowerBtnNameList_1_3|情圣榜
FlowerBtnNameList_2_0|月神榜
FlowerBtnNameList_2_1|送花
FlowerBtnNameList_2_2|月神奖励
FlowerBtnNameList_2_3|情圣榜
FlowerBtnNameList_3_0|女巫榜
FlowerBtnNameList_3_1|送糖果
FlowerBtnNameList_3_2|女巫奖励
FlowerBtnNameList_3_3|糖果榜
FlowerBtnNameList_4_0|逍遥榜
FlowerBtnNameList_4_1|敬酒
FlowerBtnNameList_4_2|逍遥奖励
FlowerBtnNameList_4_3|情圣榜
FlowerBtnNameList_5_0|圣夜榜
FlowerBtnNameList_5_1|送平安果
FlowerBtnNameList_5_2|圣夜奖励
FlowerBtnNameList_5_3|守护榜
FlowerBtnNameList_6_0|仙尊榜
FlowerBtnNameList_6_1|赠丹
FlowerBtnNameList_6_2|仙尊奖励
FlowerBtnNameList_6_3|护法榜
RankNo|第%s位好友
Level|等级：#G%s#end
Reward|奖励：
NewPlayer|（新玩家指未玩过本游戏的玩家）
NewPlayer2|（新玩家指未玩过本游戏的玩家,每天前6个计算进度）
NewPlayerCond1|邀请新玩家达到30级可领取奖励
NewPlayerCond2|您邀请新玩家达到80级可领取奖励
InviteTip|累计分享可领取丰厚奖励
InviteContent|（每天前三次分享才计算累计次数）
SharePlayTip|您邀请的新玩家达到五级即计算进度
GotReward|已领取
GetReward|领取
OutOfXianYu|仙玉不够用！
LeftCnt|剩余次数：
LeftTime|剩余时间：
CntTips|每日首笔6元充值可获得1次抽奖次数
ActTip0|(充值可计入累计充值与vip)
ActTip1|成为黄钻贵族！全场商品8折优惠！
ActTip2|首充后开启此功能！
ActTip3|
ActTip4|再充值#G%s天#end可领取极品大奖
ActTip5|当前已充值：#G%s天#end
ActTip6|充值任意金额%s天%s(%s/%s)
ActTip7|排名截止: #G%s (排行榜每5分钟刷新一次)#end
ActTip8|排名截止：已截止（数据统计中）
ActTip9|最终数据统计中\n即将更新...
ActTip10|排名截止：已截止（数据已更新）
ActTip11|天机榜积分达到%s可领取%s(%s/%s)#end
ActTip12|#G排名截止：已截止#end
ActTip13|积分达到%s可领取%s(%s/1)#end
ActTip14|完成18个以上任务即可领取元旦爱你大奖
ActTip15|满足条件后可以领取
ActTip16|完成%s个任务，可领取
ActTip17|已筛选背包中符合条件的道具,一键选择可自动选中最低符合兑换条件的道具
ActTip18|上仙，已经没有购买次数了
ActTip19|上仙，已经没有兑换次数了
ActTip20|%s积分达到%s可领取%s(%s/%s)#end
ActTip21|集齐全部%s，可获得%s%s(%s/%s)#end
ActMsg0|#B%s#end获得了豪华大奖%s%s#end
ActMsg1|#G总积分:%s#end#N个人积分:%s
ActMsg2|剩余购买次数：%s
ActMsg3|剩余兑换次数：%s
ActMsg4|%s折
TimeShow0|%s天%s时%s分%s秒
TimeShow1|%s时%s分%s秒
TimeShow2|%s天%s时%s分
TimeDown0|活动倒计时 #G%s#end\n
TimeDown1|#G活动已结束#end
TimeDown2|剩余时间：活动已结束
LuckDraw0|还需要抽奖#G%s#end次,必定获取本期大奖
LuckDraw1|下次抽取必定获取本期大奖
LuckDraw2|每次抽奖获得#G1点#end幸运值，再获得#G%s点#end幸运值必得本期大奖
LuckDraw3|以下活动可获得幸运值
LuckDraw4|以下活动可获得%s
LuckDrawBtn0|大奖记录
LuckDrawBtn1|寻宝1次
LuckDrawBtn2|寻宝10次
MallTimes0|剩余兑换次数：%s
BookDes0|小学教材
